"HolderAddress","Balance","PendingBalanceUpdate"
"0xdb58f05def2aaa96fafb2a9536df32e07f7eed4d","4","No"
"0x23566f78f583b3898f0939787a1300b929a18eb7","6413","No"
"0xe8b37926ff64a6d0c932e088629a42ffa359a926","210","No"
"0x0187af23ea07f7888b5147076a3d3ea58e96f6be","9.3097","No"
"0x059ad70c2712e21c48f3c3a689d2342b6ffd4ba9","13038","No"
"0xa5baa878a6e901616b12348d8ff2c001e2c933b5","10","No"
"0xf272d5c4bc828131a84947e05a6f810da935c30e","1220","No"
"0x24d9b3af6d18974f33de2f82991ff3356d4422de","1296","No"
"0xdca5100cbc80265c9c9d4cc8f695241ac2c26ca0","22.5151399589435","No"
"0x5f6edfc20e652ca1d886b6a64da1e0083a1ca5d9","198.713566559662","No"
"0xb92ebe9936bd4a58059c37712546aec9ff7947d1","10542","No"
"0xb3e7fa221f7ae918ec90857f35abb9c78b0a71aa","2063","No"
"0xb74d4576fe6897149c0e9f641a56b0514e904ecc","0.089566996391229","No"
"0xc186c4b3da72ad7dafc8dae016f66ef895ffb3ba","5631","No"
"0xd085d38bf5738ecf1d866754e97538103cf31ee3","101","No"
"0x2bc3b875c8d83fdd2a2b65c8074154a1c8c34ba5","486","No"
"0x26b70de57b11b48c5e54f28de20860385286b5cd","200","No"
"0xe58796cfa0afecd47f111765b6ce70b5fa71a913","0.5875","No"
"0x68625b8e947486e643b9aae636afe8b850d88bea","191.298227213314","No"
"0x49c000c28065e2fbe87b2a735b6a9a7f7d3db640","67","No"
"0x979ebc597712bab1beb8821d7d872463ffc59619","10","No"
"0xc0dc4e973cf9607fa1a34b6c25c6a26768d7fe04","26","No"
"0x3476bbd37c4785efdf51bc1be0bcc8fdf0f1e174","1625","No"
"0x650dc8d6372ce07db467d133acd2235cea0f299e","51950","No"
"0xdecb64d77c0232d3dfc75e324acdb4d42c8230b9","8.992925078711E-06","No"
"0x436d21b69058d3c43f3e15893bdc6d14f0769827","1042","No"
"0x57f386f1e034e85126e70519fa832e139ee80e2b","273.027700506613","No"
"0x31fadd7f7841f05a7a0ef7986bfe564e7b11c432","197","No"
"0xadbeb3120623c92a6e6043762fbee3661826cb77","31.0354148927128","No"
"0xde48caa7365d8fd3b7133fc99388f8ec97747863","53.4032504814634","No"
"0x8b8d70fd051cf39b801dede3232f592e9f11949d","0.00035240714241546","No"
"0x696394fb121a04c03ca21e1b4ea02bd14e36fc1b","37.2719684152234","No"
"0xf78d89a7734cbd3647095516ae0b83547b3df544","29109","No"
"0xe44279c0245bdf5bfca3fcb81c6a27221606bf55","71","No"
"0x4d0c94a1853a52e14d6430de9e89e90ab39a3432","90","No"
"0xb7c1c9ecc60662597ce6b8606d64d05b0a310b40","4250","No"
"0x1b1188288f713fc0a160d15d46d69c81eb51b30a","100","No"
"0xbe3ec19cf2d09fb3489a07e8698450efdae22987","6","No"
"0xd15dcc6440991ad2bab752651067e57b5ac8d7c6","0.00175753057609176","No"
"0x5c4443705e21542b72b7482d48628a40bd42c244","0.155631676414179","No"
"0x913ecc358210bb8e1dc0f5f66c046bb1c6a9e860","1","No"
"0xb555cb6d09ce05f5507e8375e2ea83617737f940","0.00279470237848065","No"
"0x36a169cf16fc2680ff64a3949d1f7f020a102627","4979","No"
"0xbb225d3905f91d0ad56a8f3c447e1881594f6ce0","58.0018","No"
"0xa4cf6a90feab9ef4efb93998fa7da276bdf2f2c6","716","No"
"0x9321b3786aaeb080ce643ba38a85b5d3884aff91","6111","No"
"0x6390ef2a7e5e9764bc0add59f06983d09c3287e7","132.193","No"
"0x3364d15ac8dd79939371757fee0dff9609b4321e","1500.00009660662","No"
"0x991117fecb59978a01b998d58b2a9bc898960673","100","No"
"0x6ee2088cd652ad8c89b750956698c7d0663bb50e","216.217309446537","No"
"0xc0b53221a7dbcbce68441c26ea4da73266d6bc20","229.545908270278","No"
"0x2f13c8bddead06821d5eadfe1e0c0641d4391c83","1337","No"
